arrival_hour,park_duration,energy_gap,demand_level_encoded,price_sensitive,action_index,action_value
10,1.5780555555555555,6.98344530117398,2,Free Period,2,0.0
8,9.750277777777775,0.9072430055783602,1,Free Period,0,-0.2
8,3.208333333333333,7.99785361868143,1,Free Period,3,0.1
8,4.054722222222222,5.830186251371099,1,Free Period,4,0.2
11,4.695555555555556,8.732453255807,2,Free Period,3,0.1
7,7.8175,2.0742560190921804,1,Free Period,4,0.2
8,8.884166666666667,2.19678881793539,0,Free Period,4,0.2
8,9.78472222222222,4.94070441364165,0,Free Period,2,0.0
8,9.59027777777778,-1.8518898977481992,1,Free Period,4,0.2
8,9.246944444444445,-0.7955902917378008,1,Free Period,3,0.1
8,9.02361111111111,2.45947951467862,1,Free Period,4,0.2
9,6.196111111111111,4.19269676570447,1,Free Period,2,0.0
7,7.479722222222223,1.2866388707304708,1,Free Period,2,0.0
8,8.77,-2.94514772430572,0,Free Period,3,0.1
8,6.540555555555556,5.4041187729377,2,Free Period,1,-0.1
9,3.2475,7.672917910890799,2,Free Period,1,-0.1
13,1.0055555555555555,1.25455417762314,0,Free Period,4,0.2
10,7.966944444444445,20.61084802809116,2,Free Period,0,-0.2
11,1.1716666666666666,9.9066155735402,2,Free Period,4,0.2
6,0.2027777777777777,5.41975788324073,1,Free Period,3,0.1
6,4.112777777777778,8.8564123286184,2,Free Period,3,0.1
7,5.743333333333333,-1.2485988194242896,0,Free Period,3,0.1
8,7.791111111111111,-0.8998769640836013,1,Free Period,3,0.1
8,9.745277777777778,1.4743748962581495,1,Free Period,3,0.1
8,3.678333333333333,8.05519045435134,2,Free Period,2,0.0
8,2.233055555555556,7.68307142652953,1,Free Period,1,-0.1
8,9.122777777777776,14.1695136939617,2,Free Period,3,0.1
9,3.430555555555556,8.4083601116277,2,Free Period,0,-0.2
9,6.843333333333334,3.800440925974261,1,Free Period,0,-0.2
12,5.409722222222222,4.327713486930261,1,Free Period,0,-0.2
15,1.6858333333333333,8.2248229925396,1,Free Period,0,-0.2
16,0.2813888888888889,4.14704192710092,0,Free Period,2,0.0
6,9.368055555555555,-1.4898967380841306,0,Free Period,0,-0.2
7,4.093611111111112,11.5921134031772,2,Free Period,3,0.1
7,3.34,10.38651881376174,2,Free Period,4,0.2
7,15.250277777777775,9.1498864465708,2,Free Period,0,-0.2
7,15.105833333333331,2.69055009271783,1,Free Period,2,0.0
7,9.058333333333334,4.48227213048396,1,Free Period,2,0.0
8,9.773333333333332,1.3995471730709106,1,Free Period,0,-0.2
8,8.059722222222222,3.7198461662090008,1,Free Period,4,0.2
8,9.0325,-2.8419096918453004,1,Free Period,0,-0.2
8,8.018333333333333,1.6730610225143998,1,Free Period,2,0.0
9,6.539166666666667,4.769681597636801,1,Free Period,1,-0.1
9,5.169444444444444,0.65733810175273,0,Free Period,3,0.1
11,3.792777777777778,13.07692175287396,2,Free Period,2,0.0
14,2.3161111111111112,10.325418849110813,1,Free Period,0,-0.2
6,9.213888888888889,-1.0211333039648895,0,Free Period,3,0.1
7,4.518611111111111,9.566280894691053,2,Free Period,0,-0.2
7,9.201944444444443,0.1336863503357399,0,Free Period,0,-0.2
7,10.105277777777776,0.1202034995580598,0,Free Period,1,-0.1
8,6.785,-3.4656553664778595,0,Free Period,3,0.1
8,9.547222222222222,13.6479929565632,2,Free Period,3,0.1
8,9.154166666666669,3.63394299345512,1,Free Period,1,-0.1
9,6.594722222222222,2.5109925853065995,1,Free Period,2,0.0
9,7.2572222222222225,7.58284581849196,1,Free Period,0,-0.2
13,2.405,15.3123450149719,2,Free Period,4,0.2
6,9.400277777777776,1.19015238711476,0,Free Period,0,-0.2
7,3.7025,8.10944718687001,2,Free Period,0,-0.2
7,3.8030555555555554,15.3943543744435,2,Free Period,2,0.0
7,9.21,9.3338230922499,2,Free Period,0,-0.2
7,3.203888888888889,19.08960930242895,2,Free Period,1,-0.1
7,7.1066666666666665,-3.21143264704272,0,Free Period,1,-0.1
8,8.42,1.1139102410377006,0,Free Period,3,0.1
8,9.525833333333331,-2.16854166826656,0,Free Period,4,0.2
8,6.516111111111111,5.343021818187498,2,Free Period,0,-0.2
9,6.596388888888889,0.2796778701099995,1,Free Period,0,-0.2
13,1.5202777777777778,8.25499272314483,1,Free Period,2,0.0
14,3.6147222222222224,9.5757924478707,2,Free Period,1,-0.1
6,9.330555555555556,-2.2350377442602305,0,Free Period,4,0.2
7,7.811944444444444,-1.37152631385435,0,Free Period,3,0.1
7,15.250833333333333,6.85820895361013,1,Free Period,1,-0.1
7,3.172222222222222,8.35970567480282,2,Free Period,3,0.1
7,8.077777777777778,8.4179218649037,1,Free Period,2,0.0
8,9.681666666666668,0.4573832745813604,0,Free Period,2,0.0
9,6.443055555555556,9.8610142834223,2,Free Period,0,-0.2
9,8.930833333333334,19.0774199067747,2,Free Period,4,0.2
9,6.599444444444444,3.5786690958756004,1,Free Period,3,0.1
9,8.546388888888888,3.3117933307190803,1,Free Period,1,-0.1
9,7.027777777777778,8.360726194091981,1,Free Period,2,0.0
13,9.565,0.7166371802764102,0,Free Period,0,-0.2
13,1.5047222222222223,11.54047943418623,1,Free Period,0,-0.2
11,6.36,19.62362260936913,2,Free Period,3,0.1
14,2.0775,11.4286330663056,2,Free Period,2,0.0
12,5.64,19.94517904427057,2,Free Period,4,0.2
6,9.391944444444444,1.53505710787379,0,Free Period,2,0.0
7,4.453055555555555,10.2594393305202,2,Free Period,3,0.1
7,5.365833333333334,-1.3273901971991808,0,Free Period,3,0.1
7,4.3475,9.7949709235671,2,Free Period,2,0.0
7,9.293611111111112,7.42821720814129,1,Free Period,3,0.1
8,9.596111111111112,1.8561699450778295,0,Free Period,2,0.0
8,4.08,6.76402986463686,1,Free Period,1,-0.1
8,2.511111111111111,5.6072712982595,1,Free Period,2,0.0
8,4.245,15.1637118213925,2,Free Period,2,0.0
8,8.011388888888888,9.970066012932229,1,Free Period,3,0.1
9,6.62,6.02432442137427,1,Free Period,3,0.1
9,8.515277777777778,2.4906091326782303,1,Free Period,0,-0.2
12,3.9497222222222224,-0.4435606730122601,0,Free Period,0,-0.2
16,0.3480555555555555,5.2146128533085605,0,Free Period,1,-0.1
6,9.353055555555557,1.5236226854316497,0,Free Period,0,-0.2
8,8.453333333333333,1.4270001781543709,1,Free Period,2,0.0
8,13.723333333333333,2.66710843573129,0,Free Period,3,0.1
8,2.5869444444444443,4.1882398405017,1,Free Period,0,-0.2
8,6.575555555555556,7.1171720224857005,2,Free Period,0,-0.2
8,8.069166666666666,-2.9947873636624003,1,Free Period,1,-0.1
9,7.993888888888889,-0.1939990556994999,1,Free Period,1,-0.1
9,5.975555555555555,3.2962636561077794,1,Free Period,2,0.0
9,3.856944444444444,1.7712986148422996,1,Free Period,3,0.1
9,2.4633333333333334,0.1149232031740798,0,Free Period,1,-0.1
11,3.107222222222222,9.5145352773383,2,Free Period,0,-0.2
8,8.993055555555555,7.55584846833721,1,Free Period,3,0.1
8,8.81611111111111,5.86193455467931,1,Free Period,3,0.1
8,9.408611111111112,3.19515371325911,0,Free Period,0,-0.2
9,6.713333333333333,5.555858123056499,2,Free Period,1,-0.1
10,6.139166666666667,5.50901260352824,1,Free Period,0,-0.2
11,6.293611111111111,4.21076734071166,1,Free Period,3,0.1
7,3.698888888888889,17.83310026131732,2,Free Period,4,0.2
7,9.4075,3.4257317222129204,1,Free Period,4,0.2
7,9.34,8.87799083948252,2,Free Period,2,0.0
7,7.058888888888889,1.24778488239426,1,Free Period,0,-0.2
8,9.465,3.14576861482481,0,Free Period,0,-0.2
8,4.110833333333333,2.8656627493450904,1,Free Period,2,0.0
9,7.567777777777778,1.9264581764839,1,Free Period,2,0.0
9,7.454444444444444,3.8410813023738,1,Free Period,2,0.0
14,1.2619444444444443,7.830238431193379,2,Free Period,3,0.1
7,8.856388888888889,-0.7638835847719498,0,Free Period,0,-0.2
7,9.13888888888889,2.49958709789333,1,Free Period,3,0.1
7,7.091666666666667,4.35422642505151,1,Free Period,2,0.0
8,6.872777777777777,9.8868677654088,2,Free Period,0,-0.2
9,8.822777777777778,3.5989696139995395,1,Free Period,3,0.1
9,6.7683333333333335,1.9692703167865009,2,Free Period,3,0.1
10,6.803055555555556,10.32722739940639,1,Free Period,2,0.0
16,0.675,4.58159639518344,0,Free Period,0,-0.2
11,1.1894444444444443,1.5963411249470196,1,Free Period,2,0.0
7,7.367222222222222,9.040608888364702,2,Free Period,0,-0.2
7,9.640833333333331,7.11330006000313,1,Free Period,4,0.2
7,8.858888888888888,1.5028817396886005,1,Free Period,1,-0.1
8,2.9008333333333334,7.6124826584543,1,Free Period,1,-0.1
8,4.3116666666666665,4.132435823799961,1,Free Period,1,-0.1
8,9.63111111111111,-0.21359030304844,0,Free Period,2,0.0
8,6.591388888888889,3.46455083072647,1,Free Period,4,0.2
9,2.939722222222222,7.095432235085701,2,Free Period,0,-0.2
9,6.8425,5.0509341058953,2,Free Period,3,0.1
9,7.083055555555555,4.02198061255075,1,Free Period,0,-0.2
9,7.749166666666666,1.4686588200341006,1,Free Period,3,0.1
9,7.699722222222222,3.5842573797261004,1,Free Period,0,-0.2
9,0.4186111111111111,11.44238859229695,1,Free Period,4,0.2
11,1.2066666666666668,3.894152405927,0,Free Period,3,0.1
16,0.4125,5.37468634237044,0,Free Period,2,0.0
7,5.341111111111111,1.4570438025374504,1,Free Period,0,-0.2
8,9.709444444444443,-1.3882700999648598,0,Free Period,0,-0.2
8,6.506666666666667,4.51637669217861,1,Free Period,3,0.1
8,3.355,7.317049819467501,2,Free Period,2,0.0
8,8.301944444444445,8.33979700535711,1,Free Period,2,0.0
8,8.285833333333333,16.3916697329758,2,Free Period,4,0.2
9,6.462777777777778,6.457222503370501,2,Free Period,2,0.0
9,6.816666666666666,9.59929257276053,2,Free Period,2,0.0
11,3.310555555555556,4.22926035127176,1,Free Period,2,0.0
12,3.4963888888888888,3.2028876814935003,1,Free Period,1,-0.1
12,4.3375,0.6843200604182993,1,Free Period,4,0.2
14,2.1530555555555555,1.8023522402405003,0,Free Period,0,-0.2
16,4.338611111111111,18.07580788092134,2,Free Period,3,0.1
6,6.039722222222222,3.5664286164293504,1,Free Period,0,-0.2
7,8.902222222222223,5.285001242485599,2,Free Period,4,0.2
7,9.272777777777778,3.3592740699968004,1,Free Period,3,0.1
7,4.054444444444444,7.69439561023119,2,Free Period,4,0.2
9,6.365555555555556,6.001502616257101,2,Free Period,2,0.0
9,8.853055555555555,13.1200116677039,2,Free Period,3,0.1
9,6.755,6.7114187611829,2,Free Period,2,0.0
10,2.3225,10.2428366833994,2,Free Period,0,-0.2
11,5.170277777777778,18.052932389919512,2,Free Period,0,-0.2
12,5.183888888888889,6.04268675483013,1,Free Period,3,0.1
14,2.813888888888889,11.6650699374971,1,Free Period,3,0.1
7,8.848333333333333,6.949763341868801,2,Free Period,4,0.2
7,7.218055555555556,1.5414062237992692,1,Free Period,4,0.2
7,3.1730555555555555,8.3622366346949,2,Free Period,2,0.0
8,4.986666666666666,2.0090916970458608,1,Free Period,3,0.1
8,8.251388888888888,2.5356254527674995,1,Free Period,0,-0.2
8,8.234444444444444,-2.189344679235699,1,Free Period,4,0.2
9,7.849722222222222,3.5147357480720007,1,Free Period,4,0.2
9,6.5313888888888885,1.6685406113113004,1,Free Period,0,-0.2
9,8.523888888888889,15.9093931321578,2,Free Period,4,0.2
9,8.328055555555556,0.11365062690763,0,Free Period,2,0.0
13,2.5055555555555555,15.41795512897701,2,Free Period,3,0.1
6,6.738055555555556,4.07942910751897,1,Free Period,0,-0.2
8,9.7775,1.1154817516259898,0,Free Period,3,0.1
8,2.6661111111111118,8.39520742364373,2,Free Period,4,0.2
8,8.495,3.06580701619155,1,Free Period,4,0.2
8,6.991111111111112,6.6339399951404,2,Free Period,0,-0.2
8,5.757777777777778,8.43844524598256,1,Free Period,2,0.0
9,8.12861111111111,1.32106011721315,0,Free Period,1,-0.1
10,6.128888888888889,10.4892142188785,2,Free Period,0,-0.2
12,4.052222222222222,11.22167792135703,1,Free Period,1,-0.1
14,1.6511111111111112,15.0576630617507,2,Free Period,1,-0.1
16,0.2430555555555555,5.16700647405879,0,Free Period,2,0.0
8,4.450277777777778,3.711397847207,1,Free Period,1,-0.1
8,9.659444444444444,3.9477851182118,0,Free Period,1,-0.1
8,7.5247222222222225,3.3557820622286005,1,Free Period,2,0.0
8,8.2425,2.9540501979211005,1,Free Period,1,-0.1
9,8.8575,15.6720591103562,2,Free Period,1,-0.1
9,7.626944444444445,5.0925396282555,2,Free Period,1,-0.1
10,7.076388888888889,1.13585769815118,0,Free Period,0,-0.2
13,3.4788888888888887,5.37724347123567,1,Free Period,0,-0.2
17,-0.4461111111111111,5.13914186615347,0,Free Period,0,-0.2
7,10.078611111111112,3.6899730857225,1,Free Period,2,0.0
7,5.192777777777778,4.70447283856549,1,Free Period,4,0.2
8,8.747222222222222,14.224461367409,2,Free Period,1,-0.1
8,8.860833333333334,1.3729002265071006,1,Free Period,1,-0.1
8,9.690277777777778,3.79235857705689,0,Free Period,2,0.0
8,4.074722222222222,7.34832637903617,1,Free Period,1,-0.1
8,7.178888888888889,4.8061222624251005,1,Free Period,0,-0.2
9,7.599444444444444,3.4904221354562104,1,Free Period,4,0.2
9,8.595,15.6218885745121,2,Free Period,3,0.1
9,4.214166666666666,0.6177074820442399,0,Free Period,1,-0.1
12,1.5638888888888889,7.19736064222093,1,Free Period,0,-0.2
7,8.061111111111112,11.81296027008017,2,Free Period,3,0.1
8,9.841944444444444,0.7886218734970996,0,Free Period,4,0.2
8,7.457222222222223,6.44384053170411,1,Free Period,3,0.1
8,2.2975,11.56226742957014,1,Free Period,0,-0.2
8,3.644722222222222,6.97529531822573,1,Free Period,3,0.1
8,9.13888888888889,20.58941293740977,2,Free Period,2,0.0
9,2.991111111111111,0.6754407212599602,1,Free Period,3,0.1
9,7.387777777777778,9.10482025750624,1,Free Period,1,-0.1
9,7.089722222222222,2.60393688129086,1,Free Period,1,-0.1
11,1.96,10.56962136240761,2,Free Period,2,0.0
13,3.207777777777778,4.92632232506488,1,Free Period,0,-0.2
6,10.055833333333334,2.27507795016758,1,Free Period,1,-0.1
7,8.561666666666667,4.954878966688099,1,Free Period,4,0.2
8,9.843333333333334,-0.5833552968553297,0,Free Period,1,-0.1
9,2.4825,8.32818114741229,2,Free Period,1,-0.1
9,8.178888888888888,4.5299036788356,2,Free Period,0,-0.2
9,2.125555555555556,0.20949245543517,0,Free Period,3,0.1
10,7.514444444444444,13.622138730504,2,Free Period,1,-0.1
13,1.045,15.0904972120259,2,Free Period,2,0.0
7,9.802777777777775,4.48111528632872,1,Free Period,3,0.1
8,4.872777777777777,3.31658317281768,1,Free Period,4,0.2
8,2.8577777777777778,7.8666107769696705,2,Free Period,0,-0.2
10,5.866944444444444,5.534285061456099,2,Free Period,4,0.2
11,4.928333333333334,3.2510089319359,1,Free Period,3,0.1
10,2.4616666666666664,21.13769434172836,2,Free Period,3,0.1
8,8.856666666666667,4.93084757144474,1,Free Period,3,0.1
8,8.030833333333334,6.4445756239886,2,Free Period,4,0.2
8,9.120277777777778,16.758707613405498,2,Free Period,3,0.1
9,3.9788888888888887,4.43423177616156,1,Free Period,4,0.2
9,8.438888888888888,0.6829518076513903,1,Free Period,3,0.1
13,3.084722222222222,2.5083116267018,0,Free Period,2,0.0
7,5.128055555555555,4.73276853464775,1,Free Period,3,0.1
9,0.8005555555555556,15.9571174306063,2,Free Period,4,0.2
9,8.791666666666666,18.10659003228319,2,Free Period,1,-0.1
9,6.443055555555556,4.4157593653368,2,Free Period,3,0.1
10,6.755833333333333,7.071153423125599,2,Free Period,1,-0.1
16,0.1608333333333333,5.22635230851746,0,Free Period,2,0.0
8,4.125,21.09386670509126,2,Free Period,0,-0.2
8,9.118333333333334,13.580948636909,2,Free Period,2,0.0
9,7.358333333333333,5.155676052539601,2,Free Period,3,0.1
10,3.920833333333333,1.71889033896558,1,Free Period,1,-0.1
14,0.33,11.70764398666919,1,Free Period,1,-0.1
6,6.332777777777777,21.45543543882201,2,Free Period,4,0.2
8,8.652222222222223,4.23977180831219,1,Free Period,1,-0.1
11,5.670833333333333,5.0127248474318,2,Free Period,4,0.2
16,0.8161111111111111,4.79335909219683,0,Free Period,0,-0.2
7,5.764722222222222,14.6272002036805,2,Free Period,3,0.1
7,8.93361111111111,7.91228739900182,1,Free Period,4,0.2
8,9.62138888888889,2.8702423918557303,0,Free Period,0,-0.2
9,6.878333333333333,7.565069580486499,2,Free Period,1,-0.1
9,6.053888888888889,4.592642515014699,2,Free Period,1,-0.1
12,3.619166666666666,6.1406759480895,2,Free Period,0,-0.2
12,-1.4605555555555556,11.87733852292903,1,Free Period,1,-0.1
12,3.4411111111111112,-1.4487970949969196,0,Free Period,0,-0.2
6,10.136944444444444,7.20944191533479,1,Free Period,4,0.2
7,5.513888888888889,4.57405494579186,1,Free Period,4,0.2
7,6.8725,1.2705743402453304,1,Free Period,0,-0.2
8,9.783333333333331,0.6772228609613098,0,Free Period,4,0.2
8,3.9966666666666666,4.10911520398991,1,Free Period,4,0.2
8,6.753055555555555,8.66854355816449,2,Free Period,4,0.2
9,4.831944444444445,7.117677292644601,2,Free Period,2,0.0
9,6.3675,5.117231500013199,2,Free Period,3,0.1
14,-8.420277777777779,4.07644824359952,1,Free Period,1,-0.1
9,7.108888888888889,5.53437533901287,1,Free Period,2,0.0
10,7.341111111111111,3.28333626870584,0,Free Period,4,0.2
10,6.731388888888889,5.14655402956113,1,Free Period,0,-0.2
7,9.129166666666666,6.21201495767823,1,Free Period,4,0.2
8,2.144722222222222,3.70513701694228,1,Free Period,3,0.1
8,9.515,-0.0961618287443402,0,Free Period,4,0.2
9,4.398055555555556,4.316923909302901,2,Free Period,0,-0.2
9,3.2725,-3.0728718209479697,0,Free Period,3,0.1
7,9.673333333333334,11.40156625332106,2,Free Period,4,0.2
8,8.997777777777777,10.9812650311915,2,Free Period,3,0.1
8,6.4094444444444445,2.59945044181569,0,Free Period,1,-0.1
8,8.223611111111111,2.10038306582714,1,Free Period,1,-0.1
9,4.82,5.6852821001027,2,Free Period,4,0.2
9,7.426388888888889,-0.6714933822811,0,Free Period,3,0.1
10,7.206388888888889,4.212047373456841,1,Free Period,0,-0.2
16,0.5136111111111111,4.44526980355394,0,Free Period,4,0.2
7,5.945833333333334,5.13406040998575,1,Free Period,1,-0.1
7,9.393611111111111,1.9368188166038296,0,Free Period,1,-0.1
7,8.851666666666667,3.379346372494,1,Free Period,4,0.2
8,6.849444444444444,8.7688547985252,2,Free Period,3,0.1
8,4.070555555555556,5.66292047409133,1,Free Period,1,-0.1
9,6.656111111111112,5.9232702338632,2,Free Period,3,0.1
9,7.623888888888889,-0.9916985960490994,1,Free Period,1,-0.1
10,1.4441666666666666,14.3483646808912,2,Free Period,1,-0.1
14,2.733888888888889,5.81047092877092,1,Free Period,2,0.0
7,3.6863888888888887,7.71242120826132,2,Free Period,1,-0.1
8,9.230555555555556,4.95420256992489,1,Free Period,0,-0.2
9,6.7188888888888885,5.9367965882996,2,Free Period,4,0.2
9,5.569166666666667,7.631356171094399,2,Free Period,4,0.2
10,6.667777777777777,2.653865389075049,1,Free Period,3,0.1
13,4.8213888888888885,3.7515989872057,1,Free Period,1,-0.1
14,0.7636111111111111,12.33839242060712,1,Free Period,0,-0.2
7,5.929444444444444,4.61143260200269,1,Free Period,3,0.1
7,4.141944444444444,10.5131621372837,2,Free Period,2,0.0
7,8.956666666666667,7.371157395512499,2,Free Period,3,0.1
8,3.398333333333333,7.373360234885901,2,Free Period,3,0.1
8,9.546666666666669,0.9846503840495702,0,Free Period,1,-0.1
8,8.303055555555556,2.440339631855821,1,Free Period,2,0.0
8,3.3002777777777776,0.73310748005101,0,Free Period,3,0.1
8,6.6025,5.625427957878999,2,Free Period,0,-0.2
8,4.01,-1.0531317397254405,0,Free Period,0,-0.2
