epoch,avg_reward
1,-3.3755013942718506
2,-3.3755013942718506
3,-3.3755013942718506
4,-3.3755013942718506
5,-3.3755013942718506
6,-3.3755013942718506
7,-3.3755013942718506
8,-3.3755013942718506
9,-3.3755013942718506
10,-3.3755013942718506
